datetime,y_true,p_logistic,p_xgb,p_lgb,ret_fwd
2023-01-03 06:00:00,0,0.5127111520326095,0.63753635,0.5530896069316862,-0.00942537152298617
2023-01-03 08:00:00,0,0.6172767107122635,0.5729478,0.544659488481136,-0.0019807234853150835
2023-01-03 10:00:00,1,0.555544522918327,0.38700408,0.3613226424508546,0.0004463098719944547
2023-01-03 12:00:00,1,0.5459893548655159,0.46539387,0.5741310764614832,0.0036448198946419375
2023-01-03 14:00:00,0,0.48716911056679457,0.5708075,0.5435899499475094,-0.0015131597612990655
2023-01-03 16:00:00,0,0.4721790701306889,0.49128783,0.44179214045401294,-0.00015154528836225367
2023-01-03 18:00:00,0,0.5085959033625137,0.53797114,0.41502372614233723,-0.00046417778956653333
2023-01-03 20:00:00,1,0.5167238512853632,0.56231785,0.6085766277142093,0.0006160319957542182
2023-01-04 00:00:00,1,0.5065871490237743,0.4734054,0.4896702384527123,0.0008334990859923952
2023-01-04 01:00:00,0,0.4962517432669549,0.38379973,0.533602575873352,-0.00018927385087108561
2023-01-04 02:00:00,1,0.49561070922414024,0.51519984,0.5819712640612578,0.0003786193644874647
2023-01-04 03:00:00,1,0.49107986720779545,0.3368592,0.3960718033649459,0.00037847606611962625
2023-01-04 04:00:00,0,0.49100401951624284,0.42936638,0.6161932379393367,-0.00034049958856297025
2023-01-04 05:00:00,1,0.5010106945192573,0.50501543,0.43167726152691205,8.515389200591805e-05
2023-01-04 06:00:00,1,0.482862874902336,0.46233705,0.40140990343429656,0.0022421948912014766
2023-01-04 07:00:00,1,0.4626341768688896,0.34735328,0.36852576199301834,0.002076705966753911
2023-01-04 08:00:00,0,0.451372569235833,0.46095467,0.5226816488944999,-0.0004804205092457936
2023-01-04 09:00:00,1,0.4612131876223988,0.48635295,0.36703789193273245,0.0009424537726425708
2023-01-04 10:00:00,0,0.4469691835986436,0.3977269,0.2992608312082714,-0.0015347532154492693
2023-01-04 11:00:00,1,0.481207500255547,0.50429827,0.4522447304885571,0.0002640438312759841
2023-01-04 12:00:00,1,0.4489900201916777,0.42072624,0.27164598355245423,0.0003111123681307504
2023-01-04 13:00:00,1,0.43847431871233455,0.49458298,0.449101587235319,0.001272336575435462
2023-01-04 14:00:00,0,0.43504687368438627,0.36840037,0.35948299045923054,-0.0019672624930580085
2023-01-04 15:00:00,1,0.452247768456117,0.4782435,0.33308471810018925,0.0014807130057532536
2023-01-04 16:00:00,0,0.44045255103693565,0.4021514,0.404379843715526,-0.0010924124422010406
2023-01-04 17:00:00,0,0.4978213615759062,0.5253591,0.46141838642942457,-0.0007824947440866481
2023-01-04 18:00:00,1,0.5044161704687798,0.55636275,0.5395442696679934,0.0006132769747519973
2023-01-04 19:00:00,0,0.45303359180034297,0.4549495,0.42481741535223183,-0.00019801420044696094
2023-01-04 20:00:00,0,0.4884246292170538,0.5024962,0.5560735931760977,-0.00022634676324129188
2023-01-04 21:00:00,1,0.506493849541061,0.4943226,0.33470009875086243,0.00044336276507461747
2023-01-04 22:00:00,1,0.5036610827511002,0.49876478,0.47283904020303263,5.6574418933585946e-05
2023-01-04 23:00:00,1,0.49974858871493644,0.48098576,0.4754955581343027,0.0021497063010906814
2023-01-05 00:00:00,0,0.4910652392943628,0.46318898,0.4141416513716226,-0.0008091147719894165
2023-01-05 01:00:00,0,0.5048816612694522,0.45974568,0.4441120441539516,-0.00025423010649416877
2023-01-05 02:00:00,0,0.48161681030803943,0.4769464,0.40756161766732174,-0.0012808921036769894
2023-01-05 04:00:00,0,0.5057194809685512,0.53461367,0.5243432393938513,-9.430403621268901e-05
